name,avg_rating,description,category,price_range,location_type
Debonairs Pizza Lekki ,3.0,"We had a couple of take away pizzas here and they could not be faulted in quality, taste, quantity, toppings or anything else you can think of.

There was also a wide variety to choose from with great value for money.

The staff however looked...stress and were not exactly warm.

Please keep up the standard!More There's a saying that everything tastes good with a little cheese on it. Such was not the case here. I've eaten in here 2ce. The first was ok, the second, not the same. I know I may sound picky but I could bet my last...dollar that it was frozen pastry the probably popped in the microwave. That's what it tasted like. I also ordered pizza once. The main thing I'd like to point out is each time i ordered the same thing, I got a different experience. Inconsistency. .More Ordered a Pizza here - first time it was great, really enjoyed it. The second time I ordered a pizza, the meat products were not the same and really sub-standard. I had 3 slices and got very ill thereafter, threw the rest away. Also couldn't...use my ATM card because the cashier wasn't around to operate the POS?? Won't come again..More",Cafe,Moderate,Island
Debonairs Pizza VI,3.5,"I ordered 2 large pizzas ( one was spicy chicken and one was barbecue bacon ) at debonairs surulere and it took  1  hour and 30 minutes to get it and it was extremely cold and the barbecue bacon was off ; when I called...the manager; he was just quiet on the other end.More First of all I would say debonair's pizza is different from  other pizza vendors that are just HARD BREAD AND KETCHUP in the name of pizza(Domino's Pizza).

Unfortunately, DEBONAIR'S pizza are not doing a good job in promoting their products but I must confess that...they are the best. Thumbs up in quality, taste, varieties and customer service. SincerelyMore Poor customer service,I ordered online and transferred via USSD. I called about 30minutes for status and they kept saying their account has not yet reflected.I cancelled after about an hour of waiting but have not been refunded.",Casual Dining,Moderate,Island
Delis CafÈ,4.5,"Deli’s is nice and wonderfully designed. The noise proof glass and gorgeous cafe setting make stopping here for lunch awesome!
The food is great, awesome WiFi and super clean! The breakfast at Deli's is really lovely and the presentation is great. If you go on a weekend, try to get there early, as ""rush hour"" begins around 11am when seating is limited and service becomes very slow. The service is really good and the food is tasty. Small and quiet if you don’t like a crowd. Good for breakfast and brunch.",Fast Food,Moderate,Island
Dinos,2.0,"One of  about 4 eateries in he same vicinity, this is by far the worst. 

From the grumpy security to the loud and dusty interior with almost a pandemonium of disorganized chaos with a clear lack of supervision. The overall impression of ill-maintained filth is...reinforced by dirty toilets, no soap and a pungent smell that neither a dozen of naphthalene mothballs nor a couple of air fresheners can cover.

The personnel comes across as clueless and ill-trained, i had to wait quite some time for the cashier to finish disputing a preceding guest over first a faulty bill and then the lack of change.I could also not make out any supervisor!??

I opted for some fried plantain, a bean-stew with a boiled egg and heavily regretted a few hours later.........for violating my own rules of not eating in places I perceive as unhygienic !

Not again, at least not until there is fundamental improvement of the multiple challengesMore",Casual Dining,Moderate,Island
Domino's Pizza Admiralty,4.0,"The traffic within Lekki Phase1 could be horrendous because of Ikoyi-Lekki Toll Gate, I’ve tried so many food delivery but often a huge disappointment.
I wrote this review after ordering at least 5 times from the Lekki Phase1 Branch to make sure it’s not a...fluke services. 
It is fast, you could track the cooking and delivery process of your order, the menu selection is user friendly and they have amazing pizza deals online, “buy one get one free” which surprisingly doesn’t apply to orders in-store, you could order online and pick it in store if you want the deal.More Fast food restaurant. It was fitted out nicely with modern furniture and everything was clean. Pizzas were what we asked for & arrived in the time promised. Toilets were clean too. The best Pizza makers in Nigeria in my own opinion and I never regret going there or ordering one or two for 5, lol",Fast Food,Moderate,Island
Domino's Pizza Apapa,4.0,"With their Display supposedly showing the progress of your Pizza ordered, they raise expectations which they obviously cannot meet. Instead of the displayed 10 minutes, my order took almost 20 minutes, the promotional combo did not  contain a cold but rather a warm coke.

Pepperoni...nowhere to be found on the pizza, but the Ersatz meat tasted interesting. 
Overall no culinary revelation here, at a rather high price.
The restaurant on the Gbagada- Owornsoki Expressway closes at 21:00 hrs, regardless of customers or weekday.
Not very recommendableMore Fast yummy food. Quick and prompt delivery, all still hot. Pay on delivery. Often and good discounts promo. Good variety menu with African style. My favourite is chicken suya pizza,which is not available back in my country. First the cardinal sin of any franchise in my opinion is to replace pork ingredients with substitutes, as this place does. No Real pepperoni or ham. You will receive a beef substitute which tastes like a beef substitute. Surely if we wanted beef we would...order beef right ?

Once you get passed this ... and you accept that it will never taste like the dominos your used to eating in the Uk or US... it's actually not bad pizza and it's delivered pretty fast at a very reasonable price, had they not broken the cardinal sin I may have rated them a 3,4 or 5. As it stands I dislike having other people's religious beliefs forced on my choice of food and so I think a 2 is generous.More",Fast Food,Moderate,Island
Domino's Pizza Ogunnaike,4.0,"Good place to chill and have a discussion. I love the fact that every order was freshly prepared,waiting time was moderate. Good appearance and manner of approach from staffs which I loved so much. I loved the arrangement of the environment from the car park,...sitting area, to the toilet, lol. Good.More I visited this place with a friend (who practically dragged me), to have some ice-cream. It would be my first time at a coldstone creamery (because I am not a fan of ice cream). With the hype and all, I think the ice-cream tasted like...any other one and it's too expensive :-\.More For some reason or the other, cold stone isn’t on trip advisor☹️. Didn’t actually have pizza!!! Went in for ice cream and I wasn’t disappointment but for the somewhat stale nuts (had cashew and almond with my ice cream). Sadly, I went back for some...selection a few days after so probably wasn’t as bad as I originally felt it was. Good selection of flavours. Staff were friendly and extremely professional. One to take my kids to when we visit Nigeria.More",Casual Dining,Premium,Island
Domino's Pizza Surulere,3.0,"First inebriate visiting and it’s a total disaster. The staffs were All around making unpleasant noise. No respect or consideration for customers around. Service very poor, no orderliness. I am vexed There  delivery  team is so terrible.  I had a very bad  experience  dat which made me feel like I was begging for some pizza. I made a delivery  and had to wait  for over an hour. I called afterwards  just for them to tell me...I didn't place any order without an apologyMore the taste of pizza from domino pizza is splendid. welcoming and warm staff. the waiting time is awesome....you leave with tasty pizza. the environment is good. However parking is an issue. I have to park at a mall about 100 meter away.",Casual Dining,Moderate,Island
Double Four,3.5,"I always look forward to visiting whenever I'm in Lagos.Their shredded chicken and rice is so tasty. Inside the mall building with friendly staff, large portions and a good selection of comfort food choices. Not the place for a healthy meal but a nice place before or after shopping to relax and meet friends. Was visiting Lagos and was taken our for dinner by my friends in the city to Double Four.

Was a pleasant surprise to see an option of outside seating in a city with security concerns. We all sat outside and it was quite nice in...terms of seating and lights.

We had ordered Lebanese food and it was good quality. Not the best I have had but quite nice. The hot Lebanese bread was available that always makes such a big difference to the food experience.

The various servings were quite OK. The service was acceptable though not the best. Food got served without the cutlery at times and needed follow up.

Overall a decent place to head to for a nice evening and for Lebanese food in town.More",Casual Dining,Moderate,Island
Double Four VI,4.0,"Decor was good and service ok. Took a while for the food orders to come through but overall not bad. 44 has been my favorite restaurant ever since they were at Awolowo Road. No doubt 44 at Ikoyi Club was the best, but this is still real good. I know people who have left Lagos for good, but still ask me about 44. Nice atmosphere to get away from the noice out there. Hubby had curry with rice and he loved it. A bit pricey I must say 😊",Casual Dining,Premium,Island
E bar,4.0,"I visited Nigeria in December 2021. Wanted a hang out place with live music. I googled and this place came up. So i went with my partner. No regrets. Cosy environment. The place is big enough to pick the best and most convenient spot for...you to sit. Very clean place including toilets. Live music was good. We had lobster and jollof which tasted great. We felt safe while in the place. The service from the waitresses was superb. The next time i visit Lagos, i will be visiting the bar. Kudos.More I have patronised EBar for quite a number of years. It’s a good central spot in Lekki phase 1, it’s convenient for catching up with friends and drinks/food quite reasonably priced and good portions. 
They have various nights for different activities which includes Jazz night...on Thursdays, live bands on Fridays etc. The patrons cut across Nigerians and expats. 
The staff are nice and friendly. I prefer the outside as its open space and casual. There’s a pool table inside and other activities. 
It’s a nice down to earth place and will continue to patronise the establishmentMore E Bar is something of an institution, especially with the expats in Lekki. Service is very good and ditto for security. Friday is BBQ night but their menu is pretty good Nigerian dishes.

Music is pretty current and mainly local.",Fine Dining,Moderate,Island
Eko Hotel and Suites,4.0,"I was very disappointed with this hotel, for the amount of money I paid, the place is not worth it. The room is old, the carpet in the room is so dirty and smelling!

I checked in at the Eko Hotel and Suites on April...3, 2021, the first room they give me as soon as I entered the place is smelling like a pee! I calles the Room Service- my first call the woman who answered the call said she will send someone in the room, after 40 mins no one come. So I called again and no one came to the room again. Third time I calles she said I should call the dury manager. I called the duty manager and after an hr someone came and  put as to another room- the whole process took us almost 3.5 hrs! 

We ordered for dinner- it took them more than 1 and a half he to bring the food and their white rice is terrible too! 

The bext morning i ordered for breakfast- the food came, but it is not complete, the bread did not come, the mushroom and ham were not served!!! We called room service and it took them an hr to bring the remaining food and ofcourse something is missing again. They just dont get the right thing the first time!

This is the worst hotel i experience in Lagos, I paid $350 for 2 nights and that money can get me a more decent hotel in Lagos.More What a lovely resort. The grilled meat by the pool on the weekends is wonderful, and there is a very large choice of restaurants. The restaurant in the Eko Suites hotel at the end of the resort has a really nice variety of Nigerian food. It’s the Best hotel in town, everything about Eko hotel is amazing. The staff very friendly, the buffet is on point with lots of variety to eat . 
The room are so clean and smells so good. 
Thank you 🙏🏼. 
I’m definitely coming for my...Honeymoon 😊More",Fast Food,Moderate,Island
Eric Kayser,4.0,"Usually go to Eric Kayser for their desserts. The Croissants are a bit too oily for me (I like them dry and crispy) and the girls need to brighten up. l always feel like they are forced to do their jobs. My best dessert is...the Opera.
Everything else is pretty average.More I had breakfast with a friend and it was amazing. The food is tasty the coffee is delicious and the seating is very calm and attractive On a business trip to Lagos we were told to meet at Eric Kayser.. no idea that it was a café/restaurant so when we turned up it was a pleasant surprise to find a a very upmarket meeting place. Coffee great as are the bakeries...and very friendly and efficient service. So in the end we spent most of two days in either the VI or Ikoyi locations meeting people who were all happy to meet there..  Personally I prefer Ikoyi as its more like a club setting.. I'll be back..More",Fast Food,Moderate,Island
Farmcity,3.0,"Horrible delivery service. They always promise a 1 hour delivery but takes 2-3 hours. My last order officially took 3 hours to be delivered. The cocktail was lit it put me in the exact mood I wanted to be it’s called mdf  highly concentrated 😄the moment I taste it I was like, wtf😂  the ocean view was everything for me customer service 💯 Your whatsapp customer care lady that attended to me now 6pm/9.May2022 is extremely rude. If there is a mix-up. You call to explain not call and talk like you are doing me a favor. Didn’t even let me talk neither did she explain clearly, Hung...up and sent me a message -call the rider.
I order your shawarma for my colleagues cus i get attended to faster than when they order by themselves. You can check the whatsapp chats. So if there is a mistake ,you call and explain and not talk rudely to me. Please teach your employees.More",Fast Food,Moderate,Island
Federal Palace,4.0,"The hotel is great, beautifull & clean, the service is professional but the Pizza is the worst ever.
The corners hard as hell the middle uncooked, what a shame for this kind of place.
On top of that they charge you parking money what is...unacceptable for a place as this, with unfriendly arrogant gate keeper.
I had a stamp of the consierge so I didn’t need to pay, but they tried to ask money anyway! I didn’t pay afterall but lost 15mins for nothing!More Federal Palace Hotel is a lovely destination for a romantic getaway.Romantic garden, lovely view of the ocean + ships sailing by, great food and excellent service. I will definitely be back. The food is really nice. Probably one of the best in Lagos. Best advice is to go for the buffet. Price is reasonable.",Casual Dining,Moderate,Island
Flowershop CafÈ,4.0,"Lovely ambiance, great food, lots of trendy young folks buzzing about their lives. Mixed in with a nice blend of the older more mainstream folks as well.

Great go to for consistently high quality food and service. We recently held a meeting at the Flowershop Cafe and were most impressed with the ambience and food. Great coffee and drinks, including alcohol, amazing food and attentive service, make this Victoria Island eatery (and flower/gift shop) a perfect place for lunch, dinner or a...meeting.More It was a  surprise lunch for a friend, and we chose the Flowershop Cafe for its central location and favorable review of its food.
Parking can be a nightmare in central Lagos but they have valet service that takes that burden off you.
Inside the...cafe, the ambience was delightful and the background music set the appropriate tone for the hour. The wide range of options was matched by the generous portions in which these sumptuous delicacies were served. 
However, it all came into full bloom when the headwaiter realized we were having a surprise dinner for our friend-and on own volition-sent a lit cake to our table. His team surrounded and sang us a cheery song for our friend. 

A memorable experience it was indeed, at the Flowershop Cafe.More",Cafe,Moderate,Island
Folixx Lounge,4.5,"Extraordinary. Meets an elite standard by which you judge all other international lounge. The waiter's are always ready to help, the premises is extremely clean, the atmosphere is lovely, and the food is both delicious and beautifully presented. The ambient of this place is balance, the sit and sound are perfect with good full crab and yam stick with their touch of Asun makes me come on thier Friday nite, thier spiked milkshake is heavily. The ambience at the lounge was just perfect. The grilled catfish was just out of this world...never had grilled catfish that spicy but yet moderate, I could still perceive the grill which even added to my overall experience, the fish was cooked just right, not overly soft or undone...well balanced. The Hypeman dey give me joy I swear.. I can go on and on...i sha know say I done get location for island for my late night hangouts. Thank you Folix",Casual Dining,Moderate,Island
Frenchies Foods Limited,3.0,"I simply love their finger licking delicious pizza. The ambiance of the sit out restaurant is awesome. Frenchies has the best cream doughnuts in Lagos. Their pastries are still very good, their cream and Jam doughnuts are the best. 

I have been having them since forever and still not tired of them. I used to go there for their bakery only, but not anymore.  Is located on a central street,but always is floated with water in front . Often without light working, very dark and unpleasant place. I can't even imagine to sit there and have their...food. Their  hygiene is under big question. Many things changed in Lagos,but this place seems like frozen from the last century. I can't recommended it to nobody.More",Casual Dining,Moderate,Island
Fusion Restaurant,4.5,"Right at the Lagoon complex, excelent reastaurant with emphasis on the quality of the food & presentation. 
Expensive maybe but definetly worth it, arguably  among the top three in Lagos. Came to celebrate my Boss's birthday.  Wonderful ambience, very good dry aged steaks, exciting cooking process, very good wine selection,  warm and friendly owner and staff. A very wonderful experience. Contact your bankers before visiting though :-). You would not believe that you will have the best sushi in your life in an ""all kind of food"" restaurant in Nigeria owned by a Lebanese. First, the whole restaurant is a terrace next to the river/sea in the border of the island. It...has a great ambiance and music. 

I was shocked when I saw the menu - they have pizza, hamburgers, Chinese, Indian and Nigerian good. In another menu they have sushi.  It was a recipe for a disaster, but when the sushi came I couldn't believe what I was eating.

The owner fishes in the morning and he will only serve the catch of the day. Spectacular!More",Fast Food,Premium,Island
Ginger Tapas N Grill,4.0,"Ginger Tapas and grills gives me the hot spicy grills that make me feel like having the whole red wine in the world. I like the meal there. When they opened, they were pretty true to making over priced but delicious tapas dishes. The whole idea of tapas is to spend bits on semi bite sized dishes. This way, you are free to sample different dishes without overspending or overeating. Not for you...to charge a full plate price for a tapas sized dish. Nope. 
I simply stayed away for the past 2 years. 
I went back a month ago because a friend dragged me along, and they seem to have moved away from serving tapas and serving proper sized portions for common sense price. Thank you. The food was definitely delicious.More Starting this review with the snail sauce is a sign of how good it was. It was so spicy. I had it with some chips, asun and gizdo. I just need them to add some more sides. I know the idea of tapas but we...are Nigerians, come on.More",Fine Dining,Moderate,Island
Glover Court Suya Spot,4.5,"This is one spot I've added to my favorite list.
I also recommend a try out. Then come over again and again and....
It's an experience worth reliving. I had the worst experience I can never go there even if it’s only them very poor service after waiting for over 3hrs for a delivery of 45 mins only to be told that what ever F**cking thing went wrong Yeah, can't stress how delicious and neat this guy is
He should be given a badge of honor for his excellent customer service",Casual Dining,Moderate,Island
Goodies Restaurant and Coffee Shop,4.0,"Came down on the night we arrived, a friendly relaxed sports bar that sells decent drinks and food. Had pizza and chips, the amount of chips was amazing, a plate full with plenty of mayonnaise to dip into. It starts off quietly but gets really...busy around 10 pm, that said tables were still available. Great to relax after a long days work.More Staying at the Sheraton Hotel on Bank Anthony, then Goodies is just a few minutes walk away & well worth a visit. Great cakes ! I wasn't expecting the food quality would be good but to my surprise it was good. I liked the ambiance as well, as it was spacious and option of shop while enjoying the nice food.

Cheers",Casual Dining,Moderate,Island
Gossip Kitchen and Bar,5.0,"Top notch service, friendly staff,  great food. ambience was great, beautiful art works, love every bit I have an amazing experience @Gossip kitchen and bar the ambiance was cool 🤗  the foods and drinks was great  🥰 the service was topnotch 👍 Gossip is one of the best Restaurants I have ever been to ✅ this is the Talk of Lagos...Gossip kitchen and bar 💯🎊 I love you guys 🥰More Great! Great!! Space for family, friends, intimate dinner, birthday, lunch, get-together, civil wedding reception etc.",Casual Dining,Moderate,Island
Gurunar's Viceroy Restaurant,4.0,"Great place to have a corporate banquet to entertain our clients. Helpful staff and easy to work with. Food is very tasty. Taste is still in my mind. Variety of delicious food items are available in the menu. Interior is good and staff are well behavioral. Specially Mr.Rohit (Owner of the Place) is very caring for guests personally. They are doing very well....Keep it up.More Authentic Indian food, Great Ambience. 
A must go!
Their menu is expansive.  ...and the service is pretty good as well.",Casual Dining,Moderate,Island
Hard Rock CafÈ,4.5,"I had a great experience at Hard Rock Cafe Lagos  and there service is very  Good but there food is very expensive there but I love the food  ..  I also visited the rock shop to get their stuff and the also told me about...their unity program …More Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More I really enjoy their service the staff were friendly and the managers, the food was really nice but quite expensive.We also bought some T shirt from the rock shop with the help of staff....More",Cafe,Premium,Island
Harzoyka Indian Restaurant,4.5,"Great lively yet calm environment
Super hygiène
Good service 
Super nice Indian food obviously fresh and quality ingredients 
Internet works well
Safe place to park the car 
Not far from airport 

Will make it my last stop whenever i have time before leaving Lagos by...air.

It's part of a nice small hotel

Definitely will come againMore Been there many times and especially on Sunday's. Atmosphere is great, nice looking bar outside with Cold Beer and most importantly the food is delicious and not over priced. Highly recommend. if misogyny was a restaurant, it’d be this. they refuse service to women unless they have male company, which SUCKS. do better!",Casual Dining,Moderate,Island
Hearth Cloud Kitchen and CafÈ,5.0,"If u r looking authentic taste of Indian food hearth is the best for u .i visited there .I must say since that day I became fan of their street food menu. Golgappa, Soya Chap & dal makhni are my absolute favourite! . Their sizzling...brownie is perfect blend of flavours with spongy brownie topped with mild sweet vanilla ice cream. NoMore One of the best Kitchen and Cafe you can imagine in V.I Lagos.
Supper great treatment and conducive environment. Hearth cloud kitchen and Cafe is the most comfortable place to be, d food are nice, d services is very good.. infact they have it all, is the best place to be.",Cafe,Moderate,Island
Ibile Foods and Lounge,3.5,"The food here is really good and a they have a wide variety. Neat environment, cool ambience, nice location, great staff. Had to order takeaway, because I was working long hours and needed to return asap. 

Next time, I hope to enjoy the ambience and...chill at the lounge.More The food is managable,  customer service is very poor due to tribalism n mismanagement which will eventually fold up the business. 
There is no menu with price tag , just order n wait for the waiter to inflate the price with a straight face.
A...portion of rice is 800 n its 2 serving spoon which is not upto half of the take out pack

A portion of plantain is 300 with 20-25 diced pieces 

The salad is nice 500 I no too vex

Wetin vex me na the kekere ponmo wey dem call jumbo ponmo which is 400

I ended up spending 2000 for rice,plantain, pomo n salad wey no belleful me

Food I bought is equivalent to 2packs of indomie

I for just drink tea n bread with egg sleep

Am so pained, this is extortion. 

Never going dere ever againMore The ambience at Ibile is quite welcoming. It's a restaurant that caters to local dishes with the provision of a lounge upstairs. The lounge can be used for meetings, small gatherings etc.

The meal served here is decently priced at an average rate of 600...Naira. I would say their soups are quite delicious and made just like the locals of that soup would have made it. Honestly, their sausage happens to be the best I've had in along while. 

You truly get a taste of home at Ibile.More",Local Buka,Moderate,Island
Intercontinental,3.5,"I will start by saying WOW. By far the best hotel in the area. Everything was brand new, polished to perfection, including the staff. Very professional, very polite, well dressed, amazing. The food was great, couple of selected restaurants and some bars. Amazing swimming pool,...great view and good shisha. A great place to stay. Highly recommended.More Spent a weekend with family. It was my first time staying there as a guest and I was wowed by the ambience. Stayed in a deluxe suite which was impeccably clean and smelt very nice. Was very impressed that they were thoughtful to put a...nice Millefiori diffuser that smelled heavenly in the suite.More Very beautiful experience here! The ambience is lovely. The staff extremely courteous. I celebrated my birthday here and it was amazing! I will recommend over and over again.",Casual Dining,Moderate,Island
Izanagi,4.5,"Great location with great food and great service. The terrace is what I most liked. Definitely plan to return if I return to Lagos in a not too distant future. I really loved this place from the onset.
Nice and cool environment, you can definitely go and chill out Thank you",Casual Dining,Moderate,Island
Jade Chinese Ikeja,4.0,"This is my second visit after nearly 2 years. It still remains a very expensive place compared to other Chinese restaurants with great meals. The staff could have been more professional. I requested that my starter come with my friend's meal at the same time....But they declined and brought mine first. I had to insist. The meal was taken back and I'm sure reheated. They could have planned better. Frankly, but for the ambience, I know of better tasting meals in less pricey places.More the spring roll never disappoints. it has maintained its standard. will always stop by for it. it was also a walking distance to our hotel. made it convenient Had dinner with Colleagues, being from South Africa and comparing prices it was a bit on  the pricey side. Having said this the food was amazing and the service was efficient and friendly. Will I go back, I certainly will.",Casual Dining,Premium,Island
Jade Palace Chinese Cuisine,4.0,"Jade Palace is one of the better Chinese restaurants in the Lagos. It's been around for a while, which is always a good indicator, meaning that it has 'stood the test of time' in a city that has tons of competition in the Chinese cuisine...department. There are 2 branches, one in Victoria Island and one in Ikeja. We visited the V.I branch, which is located on the bustling, busy street known as Adeola Odeku.

The restaurant is located on the second floor of the building. Jade Palace is quite expansive, clean and appropriately decorated with bright red & gold oriental decor. Tables are set in a formal fashion. It looked oh so elegant and classy. The menu is something else! A very vast array of foods were on offer. Everything from dim sum to soups to cold/hot appetizers, sizzling and non-sizzling mains of beef, chicken, pork, fish, shrimp, other seafood, plus vegetarian options, rice, noodles, desserts and plenty of alcoholic and non-alcoholic beverages. There was a glossy, vibrant picture of almost every item right next to it, which makes customers choices easier; (refer to posted pictures). Our waiters were a bit aloofish and not very engaging, though they were 'handsomely' dressed. None of them wore name tags.

We ordered BUTTERFLY KING PRAWNS CUTLET, DEEP FRIED PRAWN SPRING ROLLS WITH MAYONNAISE, FRIED PRAWNS WITH SWEET & SOUR SAUCE, SLICED BEEF WITH BROCCOLI IN OYSTER SAUCE, FRIED RICE WITH SHREDDED CHICKEN, FRIED NOODLES WITH ASSORTED VEGETABLES and CHAPMAN. The food was very impressive, however the 'stand out' dishes were the Prawn & Mayonnaise Spring Rolls and the Sweet & Sour Prawns. They were amazing! The Fried Noodles didn't look anything like it's photo in the menu and didn't taste great. The Sliced Beef and Fried Rice also fell a bit flat, plus the Chapman wasn't very refreshing or sweet enough. Though we enjoyed the Butterfly Prawns, they were a tad bit oily. 

We really enjoyed our dining experience at Jade Palace.  It's worth mentioning that the service here is super speedy! I don't think it took it took more than 5 minutes for the Spring Rolls and Butterfly Prawns to emerge, so J.P gets top marks for speed! Service by the waiters was diligent and professional, though like I said earlier, they should make an effort to be a bit friendlier. I look forward to returning to Jade Palace Restaurant some time soon because the food is actually very good, regardless of a few 'hiccups'. I highly recommend this restaurant, especially if you happen to be in the Victoria Island area and are craving authentic Chinese cuisine. Great restaurant! 🥟 🍤 🥣 🍛 🍲More Love this place the food is fantastic. They have incorporated a little more spice to appeal to the Nigerian palate and it agrees with me. Go and enjoy! We decided to have a quick working Lunch at Jade palace as it was close to office. We started with a Soup and butterfly prawns, Both were good, thne we ordered for some fish and fried rice. fish was good but the fried was terrible....it was so oily that we had trouble consuming it.It was literally fried rice. Maybe the management should look into this complaint.More",Fast Food,Moderate,Island
